"specimenID","libraryID","platform","RIN","rnaBatch","libraryBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","isStranded","readStrandOrigin","runType","readLength","barcode","totalReads","mapped","rRNA.rate","assay","referenceSet","libraryVersion","DV200","validBarcodeReads"
"hB_RNA_8285","hB_RNA_8285","HiSeq2500",3.9,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8285,3791354,3466932,0.020731587,"rnaSeq",,,,
"hB_RNA_8295","hB_RNA_8295","HiSeq2500",8.1,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8295,4079721,3940925,0.0053223544,"rnaSeq",,,,
"hB_RNA_8255","hB_RNA_8255","HiSeq2500",3.7,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8255,4312147,3947008,0.00849783,"rnaSeq",,,,
"hB_RNA_8215_resequenced","hB_RNA_8215_resequenced","HiSeq2500",7.7,"NA","NA","B18C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8215,4458895,4235129,0.0040041283,"rnaSeq",,,,
"hB_RNA_10242","hB_RNA_10242","HiSeq2500",10,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10242,4838300,4411750,0.0032934777,"rnaSeq",,,,
"hB_RNA_12201","hB_RNA_12201","HiSeq2500",7.8,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12201,5171051,5059392,0.008591348,"rnaSeq",,,,
"hB_RNA_10232","hB_RNA_10232","HiSeq2500",6.2,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10232,5337002,4840488,0.01725074,"rnaSeq",,,,
"hB_RNA_9209_resequenced","hB_RNA_9209_resequenced","HiSeq2500",5.6,"NA","NA","B18C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9209,5720338,5161675,0.01805693,"rnaSeq",,,,
"hB_RNA_7765_resequenced","hB_RNA_7765_resequenced","HiSeq2500",7.5,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,7765,5778141,5662335,0.002822334,"rnaSeq",,,,
"hB_RNA_12262","hB_RNA_12262","HiSeq2500",5.2,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12262,5992956,5785196,0.016097294,"rnaSeq",,,,
"hB_RNA_9212_resequenced","hB_RNA_9212_resequenced","HiSeq2500",6.2,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9212,6115223,5460522,0.014080705,"rnaSeq",,,,
"hB_RNA_12272","hB_RNA_12272","HiSeq2500",5.8,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12272,6488011,6283408,0.0060435357,"rnaSeq",,,,
"hB_RNA_12282","hB_RNA_12282","HiSeq2500",5.2,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12282,6530969,6320470,0.006864521,"rnaSeq",,,,
"hB_RNA_9208_resequenced","hB_RNA_9208_resequenced","HiSeq2500",3.8,"NA","NA","B18C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9208,6609477,5875811,0.027112002,"rnaSeq",,,,
"hB_RNA_8265_resequenced","hB_RNA_8265_resequenced","HiSeq2500",3.5,"NA","NA","B18C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8265,6635939,6245678,0.021854153,"rnaSeq",,,,
"hB_RNA_12292","hB_RNA_12292","HiSeq2500",5.3,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12292,7449750,7230499,0.009125235,"rnaSeq",,,,
"hB_RNA_12322","hB_RNA_12322","HiSeq2500",5.6,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12322,7469786,7281071,0.0073478203,"rnaSeq",,,,
"hB_RNA_12171","hB_RNA_12171","HiSeq2500",2.2,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12171,7497357,7244926,0.0043540816,"rnaSeq",,,,
"hB_RNA_12252","hB_RNA_12252","HiSeq2500",4.3,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12252,7815187,7442046,0.025841415,"rnaSeq",,,,
"hB_RNA_12312","hB_RNA_12312","HiSeq2500",3.9,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12312,7835560,7580886,0.006660303,"rnaSeq",,,,
"hB_RNA_12211","hB_RNA_12211","HiSeq2500",5.7,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12211,7892041,7633860,0.009096971,"rnaSeq",,,,
"hB_RNA_12181","hB_RNA_12181","HiSeq2500",3.8,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12181,7896927,7673342,0.020180516,"rnaSeq",,,,
"hB_RNA_12191","hB_RNA_12191","HiSeq2500",7.2,"NA","NA","E3C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12191,8018117,7847978,0.008558893,"rnaSeq",,,,
"hB_RNA_10762_resequenced","hB_RNA_10762_resequenced","HiSeq2500",6.1,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10762,9241021,9022002,0.008325425,"rnaSeq",,,,
"hB_RNA_8075_resequenced","hB_RNA_8075_resequenced","HiSeq2500",5.3,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8075,9355385,8282694,0.004808218,"rnaSeq",,,,
"hB_RNA_12352_resequenced","hB_RNA_12352_resequenced","HiSeq2500",4.2,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12352,9681352,9380160,0.009869554,"rnaSeq",,,,
"hB_RNA_10552","hB_RNA_10552","HiSeq2500",8,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10552,9821850,9604696,0.0016065058,"rnaSeq",,,,
"hB_RNA_10622","hB_RNA_10622","HiSeq2500",7.4,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10622,9842524,9667820,0.00089875486,"rnaSeq",,,,
"hB_RNA_10492_resequenced","hB_RNA_10492_resequenced","HiSeq2500",6.1,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10492,9894148,9610510,0.0052081523,"rnaSeq",,,,
"hB_RNA_10482_resequenced","hB_RNA_10482_resequenced","HiSeq2500",5.8,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10482,9984421,9732327,0.0057100425,"rnaSeq",,,,
"hB_RNA_10577","hB_RNA_10577","HiSeq2500",2.9,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10577,10019260,9736873,0.0011600234,"rnaSeq",,,,
"hB_RNA_10617","hB_RNA_10617","HiSeq2500",6.6,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10617,10619901,10422986,0.0014573559,"rnaSeq",,,,
"BM_10_809","BM_10_809","HiSeq2500",6.2,"NA","NA","S109B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,809,10695774,10504343,0.001534413,"rnaSeq",,,,
"hB_RNA_10862","hB_RNA_10862","HiSeq2500",3.6,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10862,10806151,10507505,0.0027244336,"rnaSeq",,,,
"hB_RNA_10742_resequenced","hB_RNA_10742_resequenced","HiSeq2500",9,"NA","NA","E007C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10742,10979090,10787230,0.005121426,"rnaSeq",,,,
"hB_RNA_10852","hB_RNA_10852","HiSeq2500",3.1,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10852,11534698,11185519,0.0018446172,"rnaSeq",,,,
"hB_RNA_10882","hB_RNA_10882","HiSeq2500",5.7,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10882,11538434,11282758,0.0017122587,"rnaSeq",,,,
"hB_RNA_10567","hB_RNA_10567","HiSeq2500",4.1,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10567,11545837,11284811,0.0019397755,"rnaSeq",,,,
"hB_RNA_8155_resequenced","hB_RNA_8155_resequenced","HiSeq2500",5.2,"NA","NA","B18C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8155,11700510,11140468,0.008342199,"rnaSeq",,,,
"hB_RNA_10872","hB_RNA_10872","HiSeq2500",2.5,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10872,11737966,11450308,0.0016304365,"rnaSeq",,,,
