assay,specimenID,platform,platformLocation,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,readLength,isStranded,readStrandOrigin,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,dataContributionBatch
scrnaSeq,190403-B4-A_R1743384,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R2670295,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R4119160,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R4641987,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R5693901,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R6759986,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R7047807,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-A_R9116123,HiSeqX,Broad,NA,190403-B4-A,190403-B4-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R1743384,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R2670295,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R4119160,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R4641987,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R5693901,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R6759986,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R7047807,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190403-B4-B_R9116123,HiSeqX,Broad,NA,190403-B4-B,190403-B4-B,HY3FNCCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190409-B5-A_R2979477,HiSeqX,Broad,NA,190409-B5-A,190409-B5-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190409-B5-A_R3280186,HiSeqX,Broad,NA,190409-B5-A,190409-B5-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190409-B5-A_R3579460,HiSeqX,Broad,NA,190409-B5-A,190409-B5-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
scrnaSeq,190409-B5-A_R3741788,HiSeqX,Broad,NA,190409-B5-A,190409-B5-A,HY3M2CCXY,polyAselection,10x,cDNA,NA,NA,TRUE,forward,pairedEnd,NA,NA,NA,NA,NA,DLPFC Experiment 2
