,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000175899,2.900857438,4.692190867,17.92936061,309.9597376,293.4135728
ENSG00000166535,0.743626018,6.017640211,0.473266418,1.27748064,0.841119446
ENSG00000094914,5.835177643,15.97370577,10.34186341,6.54265768,8.974555417
ENSG00000109576,8.452021839,24.61279393,10.69903168,4.334411925,1.385766561
ENSG00000103591,9.460969736,8.536576058,7.756236877,11.58031406,9.348759602
ENSG00000115977,27.99112276,11.34638454,11.97011357,24.24876042,12.11579421
ENSG00000127837,8.201325452,11.00481598,6.071371733,14.31914082,3.847901673
ENSG00000090861,24.19421773,17.48990987,17.83675069,18.5848774,7.505436754
ENSG00000157426,13.52625353,33.87243092,10.35016749,9.819266219,9.563371925
ENSG00000149313,26.74952764,7.528501072,14.47523632,5.014344522,4.981183826
ENSG00000008311,3.85323405,121.2399464,49.76452347,22.56149921,17.8983022
ENSG00000108270,4.649303214,4.989754257,10.90665709,8.879079371,11.68691581
ENSG00000181409,6.236953285,6.058426374,29.24070472,5.423340826,4.498233064
ENSG00000183044,24.13860786,17.55044742,7.490837631,4.358141425,6.11942233
ENSG00000165029,4.961433079,32.427451,6.937688374,22.65595263,10.4811251
ENSG00000167972,8.505122247,6.886260412,6.434412001,4.896503103,5.291788481
ENSG00000154265,17.70738847,1.957694837,9.469735124,5.308227363,5.216021838
ENSG00000141338,0.533919256,0.815845872,48.02701118,3.32903563,23.13692469
ENSG00000154258,2.853522495,0.562602413,0.876477175,1.423222555,31.40339285
ENSG00000085563,3.967086032,1.582131484,1.557191707,2.727040864,190.0103993
ENSG00000135776,6.02937193,7.279694047,7.042832399,8.387849641,10.57486148
ENSG00000131269,9.107391327,19.92976949,15.92278279,21.89656509,13.13255016
ENSG00000103222,3.066698285,2.018399309,1.708097416,4.435883097,3.684070561
ENSG00000125257,1.054661804,2.49710087,1.646505462,46.7894435,3.591561428
ENSG00000114770,16.66480466,6.672137641,8.767834291,8.415842871,6.840318332
ENSG00000069431,0.721684141,11.67416225,0.473376436,0.718438779,17.14403139
ENSG00000173208,4.265843928,21.08863104,0.955760625,1.717418383,0.979450334
ENSG00000117528,6.388848325,15.59220202,14.30133247,6.829080512,12.09802707
ENSG00000119688,4.057459606,9.200558754,5.082647098,6.301212125,3.680069088
ENSG00000164163,7.707536551,6.764234781,12.57130676,12.29098599,4.587565811
ENSG00000033050,5.885038268,4.962940377,4.782893698,5.034627716,4.957367185
ENSG00000160179,1.777048815,0.71573128,19.04858555,6.905628448,9.797427531
ENSG00000144827,12.28456262,9.60217233,9.587984437,13.86150615,4.453253043
ENSG00000100997,13.02226696,7.599644859,15.81211164,30.2472885,6.766664799
ENSG00000131969,1.175369983,1.122168572,2.325108458,3.059591263,0.80451108
ENSG00000139826,5.365107788,1.846809142,5.218178858,7.112890401,3.279949932
ENSG00000114779,1.623987596,2.719557901,2.4241914,3.332403951,11.98211248
