projid,specimenID,organ,tissue,BrodmannArea,tissueWeight,nucleicAcidSource,cellType,individualID
10101291,D17-8793_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4012015
10101327,D17-8772_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4379962
10102206,D17-8787_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R9551808
10222853,D17-8766_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R2895885
10248033,D17-8756_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R8608442
10260309,D17-8755_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R9307768
10261026,D17-8781_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R5816648
10288185,D17-8767_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4689636
10290265,D17-8760_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4146432
10514454,D17-8759_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4439627
10536568,D17-8765_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R7721691
11072071,D17-8797_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R8598847
11159965,D17-8798_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R2294544
11200645,D17-8768_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R6114572
11302830,D17-8800_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R3900996
11310718,D17-8782_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R3086211
11336574,D17-8754_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R9426782
11342432,D17-8771_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4728676
11345331,D17-8792_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R8451530
11399321,D17-8799_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R5196723
11399871,D17-8791_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R2081705
11409232,D17-8753_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R8744945
11609672,D17-8788_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R9500594
11630705,D17-8794_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4262244
20104101,D17-8769_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4567280
20112377,D17-8758_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R7944883
20149910,D17-8783_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R3405776
20170043,D17-8762_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R9094222
20173942,D17-8796_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R3884524
20179164,D17-8775_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4482444
20207013,D17-8757_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R2880377
20249897,D17-8789_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4415805
20254740,D17-8779_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R1067972
20261901,D17-8770_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R8629052
20275399,D17-8785_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R6176158
20282398,D17-8786_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4258320
20956867,D17-8763_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R8725848
20963866,D17-8780_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R1538032
20977678,D17-8777_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R9113571
20978133,D17-8790_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R7160627
21126823,D17-8795_S3,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R6267541
21135554,D17-8784_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R5885245
21142003,D17-8773_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R7288382
21159840,D17-8776_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R7770387
21172121,D17-8764_S4,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R3177264
21189544,D17-8778_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4042599
21412626,D17-8761_S1,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R4739508
76647134,D17-8774_S2,brain,dorsolateral prefrontal cortex,10,0.1,single nucleus,NA,R2830542
