fastq,projid,Subject
D17-8753_S1_L001_I1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L001_R1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L001_R2_001.fastq.gz,11409232,ROS13
D17-8753_S1_L002_I1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L002_R1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L002_R2_001.fastq.gz,11409232,ROS13
D17-8753_S1_L003_I1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L003_R1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L003_R2_001.fastq.gz,11409232,ROS13
D17-8753_S1_L004_I1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L004_R1_001.fastq.gz,11409232,ROS13
D17-8753_S1_L004_R2_001.fastq.gz,11409232,ROS13
D17-8754_S2_L001_I1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L001_R1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L001_R2_001.fastq.gz,11336574,ROS45
D17-8754_S2_L002_I1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L002_R1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L002_R2_001.fastq.gz,11336574,ROS45
D17-8754_S2_L003_I1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L003_R1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L003_R2_001.fastq.gz,11336574,ROS45
D17-8754_S2_L004_I1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L004_R1_001.fastq.gz,11336574,ROS45
D17-8754_S2_L004_R2_001.fastq.gz,11336574,ROS45
D17-8755_S3_L001_I1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L001_R1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L001_R2_001.fastq.gz,10260309,ROS14
D17-8755_S3_L002_I1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L002_R1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L002_R2_001.fastq.gz,10260309,ROS14
D17-8755_S3_L003_I1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L003_R1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L003_R2_001.fastq.gz,10260309,ROS14
D17-8755_S3_L004_I1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L004_R1_001.fastq.gz,10260309,ROS14
D17-8755_S3_L004_R2_001.fastq.gz,10260309,ROS14
D17-8756_S4_L001_I1_001.fastq.gz,10248033,ROS38
D17-8756_S4_L001_R1_001.fastq.gz,10248033,ROS38
D17-8756_S4_L001_R2_001.fastq.gz,10248033,ROS38
D17-8756_S4_L002_I1_001.fastq.gz,10248033,ROS38
D17-8756_S4_L002_R1_001.fastq.gz,10248033,ROS38
